M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_w0.45.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2401 狀態=S
✅ 機身姿態 roll -3.0° pitch -1.7°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.45 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 4.35 rad/s（br3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 27.29 HOLDB_crouch    250     0.0705    17.77   bl3_knee_pitch   +0.6   -1.1    0.00
 27.54     BACK_LIE    250     0.0698    17.58   bl3_knee_pitch   +0.6   -1.1    0.00
 27.80     BACK_LIE    250     0.0496    13.72   bl3_knee_pitch   +0.4   -1.0    1.00
 28.05     BACK_LIE    250     0.0485    14.11   fr3_knee_pitch   +0.1   -1.1    1.76
 28.30     BACK_LIE    250     0.0378    10.88   br3_knee_pitch   -0.8   -1.2    1.50
 28.56     BACK_LIE    250     0.0195     5.48   br3_knee_pitch   -0.8   -1.4    1.44
 28.81     BACK_LIE    250     0.0292     7.03     bl1_hip_roll   -0.5   -2.0    1.93
 29.07    RAMP_DOWN    241     0.0221     5.44     fl1_hip_roll   -1.8   -1.7    1.31
 29.32    RAMP_DOWN    210     0.0153     2.74     fl1_hip_roll   -2.6   -1.9    1.02
 29.57    RAMP_DOWN    179     0.0114     2.10     fl1_hip_roll   -2.7   -2.0    0.07
 29.83    RAMP_DOWN    147     0.0107     1.66     fl1_hip_roll   -2.9   -2.0    0.00
 30.08    RAMP_DOWN    115     0.0107     1.28     fl1_hip_roll   -2.9   -1.9    0.03
 30.34    RAMP_DOWN     83     0.0107     0.91     fl1_hip_roll   -3.0   -1.9    0.00
 30.59    RAMP_DOWN     52     0.0107     0.59     fl1_hip_roll   -3.0   -1.9    0.01
 30.84    RAMP_DOWN     20     0.0107     0.24     br1_hip_roll   -3.0   -1.9    0.00

============================================================================
✅ 序列完整跑完

關節                     峰值τ      門檻      用掉      剔除跳點
fl1_hip_roll        -36.74      50     73%         0
fl2_hip_pitch       +25.31      50     51%         0
fl3_knee_pitch      +48.12      70     69%         0
fr1_hip_roll        +34.67      50     69%         0
fr2_hip_pitch       +23.33      50     47%         0
fr3_knee_pitch      +47.19      70     67%         0
bl1_hip_roll        -30.94      50     62%         0
bl2_hip_pitch       +35.57      50     71%         0
bl3_knee_pitch      -60.44      70     86%         0
br1_hip_roll        +31.88      50     64%         0
br2_hip_pitch       +34.59      50     69%         0
br3_knee_pitch      -60.29      70     86%         1
  ★ 共剔除 1 筆孤立反號跳點（單筆、與前後兩筆都反號且更大）。
    正常量級是每趟 0~3 筆；**上到十位數就不是感測雜訊，要查 SHM 解碼**。
    原始值都還在 JSON 的 `samples` 裡，沒有被改掉。

迴圈：6200 次 / 31.00s = 200 Hz（目標 200）　最長單次間隔 37 ms @ t=19.76s

輪               淨轉動 rad     ≈ 滾動 mm
fl4_foot        -0.3872         -37
fr4_foot        -0.1103         -11
bl4_foot        -1.1547        -111
br4_foot        -0.0145          -1
  ⚠️ 這是總量，**包含懸空空轉** —— 模擬顯示空轉可佔八成。
     要判讀必須拆成觸地/懸空，事後用 `w` 欄的 position 做。

============================================================================
★ 現在腿還在承重。[Enter] 依原路徑坐回趴姿；[Ctrl-C] 立刻放手（會塌）

   > ✅ 已坐回趴姿並降到零增益

📊 /home/robot/m_logs/M9_20260902_142111.json

⏸ mc_ctrl 仍在凍結中（PID 2401）。確認狗安全後：
      sudo kill -CONT 2401

📄 /home/robot/m_logs/M9_20260902_142111.log
