M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -5.3° pitch +2.2°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 16.14      GAIT_IN    250     0.2359    31.30    br2_hip_pitch   +3.1   -2.4    2.99

  ▸ GAIT_IN 結束（時間到），進入 GAIT

 16.40         GAIT    250     0.1581    25.32    fr2_hip_pitch   +3.5   -1.7    1.55
 16.65         GAIT    250     0.3096    41.49   bl3_knee_pitch   -0.6   -2.2    2.94
 16.90         GAIT    250     0.1082    21.19   fr3_knee_pitch   +2.0   -1.3   15.95
 17.16         GAIT    250     0.2052    32.38   fr3_knee_pitch   +1.7   -0.9    0.87
 17.41         GAIT    250     0.1688    26.19   br3_knee_pitch   +1.5   -2.4    8.53
 17.66         GAIT    250     0.2127    26.40   br3_knee_pitch   +1.6   -1.4    2.21
 17.92         GAIT    250     0.1159    26.95   fl3_knee_pitch   +2.6   -0.7    4.54
 18.17         GAIT    250     0.1357    31.24    fr2_hip_pitch   +1.6   -2.7    2.20
 18.42         GAIT    250     0.1398    20.26   fr3_knee_pitch   +3.1   -0.5    0.55
 18.67         GAIT    250     0.1903    37.32   br3_knee_pitch   +4.8   -1.9    1.44
 18.92         GAIT    250     0.2376    26.96   fl3_knee_pitch   +3.1   -1.6    2.40
 19.18         GAIT    250     0.0851    13.89    bl2_hip_pitch   +1.4   +0.2    1.14
 19.43         GAIT    250     0.2063    30.26   br3_knee_pitch   +4.4   -1.7    1.54
 19.68         GAIT    250     0.1486    23.36   fl3_knee_pitch   +3.9   -1.1    1.41
 19.93         GAIT    250     0.1648    21.57    bl2_hip_pitch   -0.2   -2.1    3.44
 20.18         GAIT    250     0.1543    28.83   bl3_knee_pitch   -0.7   -1.2    0.84
 20.43         GAIT    250     0.1146    37.66   br3_knee_pitch   +2.9   +0.6    1.30
