M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2434 狀態=S
✅ 機身姿態 roll -1.1° pitch -0.4°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.16 ms/步（預算 10 ms）

互動模式　最壞情況 110.0 秒：
  站起來 6.5 ＋ 等①15 ＋ 降增益 1.5 ＋ 淡入 2.0 ＋ 走 60 ＋ 淡出 2.0 ＋ 升增益 1.5 ＋ 等③15 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 120 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms
🎮 遙控：READY 按 Enter → 站好等鍵；**按住 W 走、放開站好、空白鍵急停**；站好時 Enter 收工

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 21.74      KP_DOWN    250     0.0611    15.22   fl3_knee_pitch   +1.0   -1.7    0.00
 21.99      KP_DOWN    250     0.0611    15.16   fl3_knee_pitch   +1.0   -1.7    0.00
 22.24      KP_DOWN    250     0.0611    15.26   fl3_knee_pitch   +1.0   -1.6    0.25
 22.50      KP_DOWN    250     0.0607    15.19   fl3_knee_pitch   +1.0   -1.6    0.01
 22.75      KP_DOWN    250     0.0607    15.19   fl3_knee_pitch   +1.0   -1.7    0.01

  ▸ KP_DOWN 結束（時間到），進入 TELEOP

 23.00       TELEOP    250     0.0607    15.07   fl3_knee_pitch   +0.9   -1.7    0.00
 23.26 TELEOP_STAND    250     0.0598    15.01   fr3_knee_pitch   +1.0   -1.7    0.03
 23.51 TELEOP_STAND    250     0.0598    14.99   fr3_knee_pitch   +1.0   -1.7    0.00
 23.76 TELEOP_STAND    250     0.0598    15.05   fr3_knee_pitch   +1.0   -1.7    0.00
 24.01 TELEOP_STAND    250     0.0598    15.03   fr3_knee_pitch   +1.0   -1.7    0.00
 24.27 TELEOP_STAND    250     0.0606    15.07   fr3_knee_pitch   +1.0   -1.7    0.00
 24.52 TELEOP_STAND    250     0.0606    15.02   fr3_knee_pitch   +1.0   -1.7    0.00
 24.77 TELEOP_STAND    250     0.0606    15.03   fr3_knee_pitch   +1.0   -1.7    0.00
 25.03 TELEOP_STAND    250     0.0606    15.04   fr3_knee_pitch   +1.0   -1.7    0.00
 25.28 TELEOP_STAND    250     0.0606    15.02   fr3_knee_pitch   +1.0   -1.7    0.00
 25.53 TELEOP_STAND    250     0.0606    14.99   fr3_knee_pitch   +1.0   -1.7    0.00
 25.78 TELEOP_STAND    250     0.0606    15.01   fr3_knee_pitch   +1.0   -1.7    0.00
 26.04 TELEOP_STAND    250     0.0606    15.00   fr3_knee_pitch   +1.0   -1.7    0.00
