M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -9.0° pitch +0.0°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 0（乾跑：動作固定基準）　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 47.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 5 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  ▸ GAIT_IN 結束（時間到），進入 GAIT

 18.96         GAIT    250     0.1177    26.54    fl2_hip_pitch   -0.3   +0.2    3.57
 19.21         GAIT    250     0.1540    44.14    br2_hip_pitch   +3.2   -2.6   16.71
 19.46         GAIT    250     0.2226    38.81    bl2_hip_pitch   +0.1   -1.9    1.36
 19.72         GAIT    250     0.2477    32.97    fl2_hip_pitch   -1.8   +1.7    1.27
 19.97         GAIT    250     0.1089    22.51    br2_hip_pitch   +1.4   -1.0    2.70
 20.22         GAIT    250     0.1719    30.44   bl3_knee_pitch   -2.7   -2.0    2.46
 20.47         GAIT    250     0.1936    45.80   fl3_knee_pitch   +0.4   +0.9    7.84
 20.73         GAIT    250     0.1755    21.54   fl3_knee_pitch   +2.8   +0.6    4.41
 20.98         GAIT    250     0.2505    25.02   br3_knee_pitch   -1.6   -1.9    1.64
 21.23         GAIT    250     0.1509    26.66    fl2_hip_pitch   +2.8   -1.6    3.25

  ▸ GAIT 結束（按下 Enter），進入 GAIT_OUT


  ▸ policy 退回開迴路 A（按停淡出：淡出段走純 A）—— 走路繼續

 21.48     GAIT_OUT    250     0.2257    35.29    fr2_hip_pitch   +3.9   +0.7    2.98
 21.73     GAIT_OUT    250     0.1331    26.05    bl2_hip_pitch   -0.1   -1.7    2.46
 21.98     GAIT_OUT    250     0.2027    27.18    br2_hip_pitch   +3.9   -2.8    1.89
 22.24     GAIT_OUT    250     0.1443    15.87   br3_knee_pitch   +3.7   +0.9    2.18
 22.49     GAIT_OUT    250     0.1517    21.93   fl3_knee_pitch   +1.0   -0.0    3.10
 22.75     GAIT_OUT    250     0.1318    20.43   bl3_knee_pitch   +4.8   -3.5    0.91
 23.00     GAIT_OUT    250     0.1154    25.44   fr3_knee_pitch   +2.4   -1.1    5.84
 23.25     GAIT_OUT    250     0.1154    18.84   fr3_knee_pitch   +0.2   +0.0    1.50
 23.51     GAIT_OUT    250     0.1467    34.67   br3_knee_pitch   +4.0   -2.5    1.24
 23.76     GAIT_OUT    250     0.0998    16.59   br3_knee_pitch   +2.0   -1.8    0.68
 24.01     GAIT_OUT    250     0.0845    17.49   bl3_knee_pitch   +0.9   -1.5    0.45
 24.27     GAIT_OUT    250     0.0807    15.67   br3_knee_pitch   +2.1   -1.6    0.10

  ▸ GAIT_OUT 結束（時間到），進入 KP_UP

