M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=1

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2425 狀態=T
✅ 機身姿態 roll +2.2° pitch -2.5°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 26.0 秒　17 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → KPRAMP_250(1.0) → SAG_kp250(2.0) → KPRAMP_180(1.0) → SAG_kp180(2.0) → KPRAMP_120(1.0) → SAG_kp120(2.0) → KPRAMP_back(1.0) → HOLD_stand2(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 26.0s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.590 rad        0.62 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.590 rad        0.62 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +2.2 pitch -2.5）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
 15.67      SAG_kp120    120     0.0857    10.62   fr3_knee_pitch   +0.9   -1.1
 15.93      SAG_kp120    120     0.0868    10.47   fr3_knee_pitch   +0.9   -1.1
 16.18      SAG_kp120    120     0.0876    10.67   fr3_knee_pitch   +0.9   -1.1
 16.43      SAG_kp120    120     0.0891    10.71   fr3_knee_pitch   +0.9   -1.1
 16.68      SAG_kp120    120     0.0891    10.79   fr3_knee_pitch   +0.9   -1.1
 16.94      SAG_kp120    120     0.0891    10.78   fr3_knee_pitch   +0.9   -1.1
 17.19      SAG_kp120    120     0.0895    10.78   fr3_knee_pitch   +0.9   -1.1
 17.44      SAG_kp120    120     0.0895    10.76   fr3_knee_pitch   +0.9   -1.1
 17.69    KPRAMP_back    145     0.0895    12.86   fr3_knee_pitch   +0.9   -1.1
 17.94    KPRAMP_back    177     0.0887    15.68   fr3_knee_pitch   +0.9   -1.1
 18.19    KPRAMP_back    210     0.0811    16.85   fr3_knee_pitch   +0.9   -1.1
 18.45    KPRAMP_back    243     0.0723    17.43   fr3_knee_pitch   +0.9   -1.2
 18.70    HOLD_stand2    250     0.0636    16.06   fr3_knee_pitch   +0.9   -1.2
 18.96    HOLD_stand2    250     0.0632    15.86   fr3_knee_pitch   +0.9   -1.2
 19.21    HOLD_stand2    250     0.0632    15.87   fr3_knee_pitch   +0.9   -1.2
 19.46    HOLD_stand2    250     0.0632    15.86   fr3_knee_pitch   +0.9   -1.2
 19.71    BACK_crouch    250     0.0462    10.92   fr3_knee_pitch   +0.8   -1.2
 19.97    BACK_crouch    250     0.0623    13.21   br3_knee_pitch   +0.7   -1.2
 20.22    BACK_crouch    250     0.0619    13.68   fl3_knee_pitch   +0.7   -1.1
 20.47    BACK_crouch    250     0.0493    14.65   fl3_knee_pitch   +0.6   -1.2
 20.73    BACK_crouch    250     0.0414    14.89   fr3_knee_pitch   +0.5   -1.1
 20.98    BACK_crouch    250     0.0633    16.72   fr3_knee_pitch   +0.6   -1.1
